[2024-12-05 23:49:05] Utilizadores online: 2 | Mensagens enviadas: 3
[2024-12-06 02:15:41] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 02:16:41] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 02:24:34] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 02:34:53] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-06 20:42:01] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:43:01] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:44:01] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-06 20:45:01] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-06 20:46:01] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-06 20:47:01] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-06 20:48:01] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-06 20:49:01] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:50:01] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:51:01] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:52:01] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:53:01] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:54:02] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:55:02] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:56:02] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:57:02] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:58:02] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-06 20:59:02] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-07 02:30:31] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-07 02:32:38] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-07 02:34:33] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-07 02:53:38] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-07 02:54:38] Utilizadores online: 1 | Mensagens enviadas: 1
